epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8139,2.92266,5.35957,1.56336,0.00228,0.68376,0.0776,0.03503,2.05521,4.02874,1.20988,0.000657895,0.000657895,0.000657895
2,31.7552,1.90416,2.28862,1.21739,0.60706,0.55556,0.54002,0.26519,1.79699,2.01807,1.19115,0.00131145,0.00131145,0.00131145
3,37.9144,1.8461,1.87644,1.19247,1,0.07095,0.22062,0.11105,2.35164,3.41186,1.47866,0.0019518,0.0019518,0.0019518
4,45.0589,1.87401,1.65747,1.19007,0.72248,0.57265,0.67435,0.37271,1.57653,3.14881,1.11188,0.0019406,0.0019406,0.0019406
5,52.2896,1.76461,1.52454,1.16,0.76109,0.5812,0.66563,0.27593,1.79724,1.54176,1.19039,0.0019208,0.0019208,0.0019208
6,60.2108,1.76358,1.43186,1.16505,0.88403,0.49573,0.64616,0.32523,1.77606,1.5114,1.18081,0.001901,0.001901,0.001901
7,73.964,1.76394,1.36846,1.1583,0.76756,0.64916,0.69924,0.39327,1.49782,1.45051,1.1136,0.0018812,0.0018812,0.0018812
8,79.6034,1.70595,1.35017,1.13365,0.75436,0.66667,0.6786,0.34815,1.702,1.42546,1.13911,0.0018614,0.0018614,0.0018614
9,86.5952,1.72014,1.29022,1.13916,0.72088,0.65812,0.72383,0.36972,1.79572,1.28574,1.15967,0.0018416,0.0018416,0.0018416
10,93.4,1.67853,1.28801,1.13176,0.85394,0.59966,0.71997,0.40086,1.55954,1.30204,1.09106,0.0018218,0.0018218,0.0018218
11,100.355,1.71077,1.28886,1.13565,0.75543,0.55442,0.70013,0.35444,1.7187,1.61905,1.13198,0.001802,0.001802,0.001802
12,109.718,1.67304,1.2323,1.12543,0.8034,0.63248,0.7581,0.39002,1.64102,1.24052,1.12524,0.0017822,0.0017822,0.0017822
13,125.251,1.65225,1.22128,1.11479,0.79905,0.67521,0.75838,0.39289,1.72276,1.28957,1.12021,0.0017624,0.0017624,0.0017624
14,132.432,1.64959,1.2187,1.10806,0.90826,0.64957,0.81257,0.4002,1.73373,1.19741,1.1243,0.0017426,0.0017426,0.0017426
15,138.197,1.6589,1.19817,1.1127,0.80519,0.7265,0.7874,0.42024,1.67826,1.19945,1.11567,0.0017228,0.0017228,0.0017228
16,144.942,1.64423,1.19188,1.1103,0.8417,0.7265,0.83527,0.44281,1.65238,1.11533,1.11626,0.001703,0.001703,0.001703
17,152.071,1.61545,1.15201,1.09264,0.84388,0.73504,0.81653,0.46111,1.49875,1.12231,1.05867,0.0016832,0.0016832,0.0016832
18,160.536,1.61474,1.15355,1.09778,0.73828,0.77154,0.82353,0.46184,1.64345,1.13711,1.09632,0.0016634,0.0016634,0.0016634
19,172.362,1.63336,1.12837,1.09622,0.81738,0.74359,0.79741,0.40433,1.68989,1.16552,1.11004,0.0016436,0.0016436,0.0016436
20,179.817,1.59937,1.11396,1.09155,0.83153,0.71715,0.78481,0.45489,1.4501,1.16825,1.03737,0.0016238,0.0016238,0.0016238
