epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9916,1.82909,5.19788,1.53584,0.17683,0.1453,0.06542,0.02916,1.41299,4.34224,1.13971,0.000657895,0.000657895,0.000657895
2,23.5286,1.43615,2.32634,1.19792,0.05576,0.52991,0.04397,0.02332,1.33074,9.16945,1.20288,0.00131145,0.00131145,0.00131145
3,31.2234,1.41753,1.86169,1.19001,0.64284,0.4615,0.48859,0.22306,1.46711,2.03629,1.26212,0.0019518,0.0019518,0.0019518
4,39.8073,1.40956,1.60033,1.18721,0.71491,0.53846,0.64202,0.33048,1.31335,1.63427,1.16645,0.0019406,0.0019406,0.0019406
5,46.9628,1.35183,1.46715,1.15022,0.66056,0.53846,0.59876,0.30983,1.32088,1.56239,1.14072,0.0019208,0.0019208,0.0019208
6,55.1044,1.37168,1.42659,1.16343,0.75714,0.61538,0.69251,0.33268,1.41816,1.33997,1.19471,0.001901,0.001901,0.001901
7,65.5174,1.36441,1.35878,1.14659,0.71835,0.58974,0.5888,0.30813,1.28407,1.61657,1.10115,0.0018812,0.0018812,0.0018812
8,75.6267,1.32625,1.32839,1.13305,0.77676,0.71375,0.7854,0.39649,1.31239,1.37629,1.1246,0.0018614,0.0018614,0.0018614
9,81.5989,1.33343,1.31747,1.13417,0.80405,0.64957,0.7461,0.40049,1.31184,1.30078,1.11485,0.0018416,0.0018416,0.0018416
10,88.5796,1.32325,1.27904,1.12663,0.7924,0.61988,0.70204,0.3897,1.18743,1.33991,1.08373,0.0018218,0.0018218,0.0018218
11,95.7552,1.33223,1.2541,1.13259,0.82306,0.63614,0.77534,0.39432,1.26844,1.19606,1.10701,0.001802,0.001802,0.001802
12,103.076,1.31728,1.23898,1.12059,0.81436,0.66667,0.76733,0.40452,1.26976,1.19977,1.10411,0.0017822,0.0017822,0.0017822
13,110.366,1.30886,1.18509,1.11293,0.80464,0.63248,0.75839,0.38378,1.35241,1.27555,1.114,0.0017624,0.0017624,0.0017624
14,117.165,1.30034,1.19696,1.10899,0.87014,0.7445,0.83395,0.42811,1.34045,1.18313,1.10958,0.0017426,0.0017426,0.0017426
15,123.988,1.28564,1.18326,1.10564,0.82155,0.77778,0.83762,0.4822,1.1877,1.13676,1.06058,0.0017228,0.0017228,0.0017228
16,131.24,1.29452,1.17625,1.10919,0.92531,0.63533,0.80355,0.44165,1.21973,1.17727,1.08477,0.001703,0.001703,0.001703
17,138.435,1.26811,1.13022,1.08131,0.87539,0.75214,0.86116,0.45687,1.23483,1.0797,1.05893,0.0016832,0.0016832,0.0016832
18,145.713,1.27722,1.1278,1.09592,0.74829,0.71146,0.78427,0.42534,1.28643,1.20173,1.09316,0.0016634,0.0016634,0.0016634
19,153.37,1.28063,1.11595,1.09757,0.84252,0.73165,0.82605,0.43422,1.27256,1.12533,1.06691,0.0016436,0.0016436,0.0016436
20,161.259,1.27306,1.10978,1.08917,0.88938,0.68721,0.81038,0.41294,1.23831,1.15674,1.08559,0.0016238,0.0016238,0.0016238
21,169.248,1.25922,1.11506,1.07204,0.81662,0.77778,0.81882,0.43318,1.27726,1.11866,1.08103,0.001604,0.001604,0.001604
22,178.001,1.26388,1.09483,1.09175,0.8385,0.71003,0.829,0.4386,1.27898,1.19277,1.07809,0.0015842,0.0015842,0.0015842
23,186.125,1.25418,1.09245,1.08652,0.81315,0.7094,0.82854,0.46242,1.19931,1.17565,1.05639,0.0015644,0.0015644,0.0015644
24,195.405,1.24092,1.02058,1.0798,0.90686,0.73504,0.85347,0.49039,1.19175,1.06324,1.05315,0.0015446,0.0015446,0.0015446
25,203.152,1.24109,1.01182,1.07587,0.91831,0.67521,0.81626,0.45753,1.26219,1.165,1.06735,0.0015248,0.0015248,0.0015248
26,211.476,1.23138,1.02891,1.08,0.83492,0.76923,0.84864,0.47679,1.27702,1.07509,1.08386,0.001505,0.001505,0.001505
27,220.791,1.23739,0.99865,1.0733,0.79808,0.81077,0.87284,0.51443,1.15585,1.01882,1.04316,0.0014852,0.0014852,0.0014852
