epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1587,1.91612,5.35283,1.57233,0.05261,0.03419,0.07205,0.03212,1.49983,3.93418,1.09588,0.000657895,0.000657895,0.000657895
2,23.6292,1.53362,2.30781,1.18815,0.52741,0.39316,0.43834,0.19698,1.45993,2.38998,1.14221,0.00131145,0.00131145,0.00131145
3,38.0932,1.49181,1.85431,1.16209,0.63997,0.46154,0.50343,0.23776,1.51905,2.15075,1.18481,0.0019518,0.0019518,0.0019518
4,60.9608,1.49964,1.57928,1.16706,0.63552,0.48718,0.56255,0.31871,1.28488,1.57785,1.1146,0.0019406,0.0019406,0.0019406
5,67.4833,1.44614,1.50684,1.1429,0.6833,0.59011,0.63504,0.30877,1.35752,1.78234,1.11808,0.0019208,0.0019208,0.0019208
6,73.8517,1.46973,1.419,1.16365,0.81706,0.65812,0.72619,0.36023,1.43236,1.32963,1.14536,0.001901,0.001901,0.001901
7,80.999,1.4449,1.35837,1.13793,0.76563,0.65812,0.74831,0.41378,1.30659,1.25817,1.12092,0.0018812,0.0018812,0.0018812
8,87.8649,1.42296,1.34407,1.13064,0.72978,0.50783,0.62338,0.326,1.31954,1.50091,1.07359,0.0018614,0.0018614,0.0018614
9,96.2256,1.41075,1.30045,1.11996,0.79026,0.68376,0.74945,0.35288,1.52373,1.28183,1.15734,0.0018416,0.0018416,0.0018416
10,113.745,1.39995,1.27361,1.12565,0.7157,0.70085,0.71573,0.3882,1.3405,1.32141,1.11275,0.0018218,0.0018218,0.0018218
11,122.924,1.40386,1.28716,1.12042,0.79366,0.57265,0.69072,0.37984,1.35859,1.54173,1.09204,0.001802,0.001802,0.001802
12,129.197,1.40115,1.2228,1.12093,0.75613,0.69231,0.73685,0.36059,1.39347,1.26425,1.11792,0.0017822,0.0017822,0.0017822
13,136.154,1.38224,1.19898,1.11335,0.84388,0.69302,0.79256,0.43829,1.34544,1.16692,1.08816,0.0017624,0.0017624,0.0017624
14,143.211,1.37807,1.20829,1.10496,0.77276,0.76923,0.81813,0.40242,1.50737,1.22032,1.14994,0.0017426,0.0017426,0.0017426
15,150.997,1.37339,1.18033,1.10746,0.7709,0.77778,0.81491,0.44945,1.30535,1.14129,1.08197,0.0017228,0.0017228,0.0017228
16,163.71,1.37663,1.17249,1.11323,0.88941,0.75611,0.85403,0.45203,1.35704,1.10553,1.10085,0.001703,0.001703,0.001703
17,173.218,1.34162,1.14068,1.0843,0.89641,0.66564,0.82579,0.44699,1.29586,1.13018,1.05398,0.0016832,0.0016832,0.0016832
18,181.566,1.37085,1.15275,1.1017,0.86031,0.63165,0.76824,0.40161,1.40842,1.28136,1.0848,0.0016634,0.0016634,0.0016634
19,187.298,1.36033,1.1078,1.0999,0.79779,0.74186,0.77765,0.3979,1.3725,1.20577,1.08875,0.0016436,0.0016436,0.0016436
20,194.201,1.3454,1.08635,1.08308,0.826,0.7094,0.76332,0.42167,1.29701,1.16948,1.05512,0.0016238,0.0016238,0.0016238
21,203.301,1.33961,1.10604,1.07386,0.70239,0.7265,0.76822,0.4041,1.42654,1.13783,1.11289,0.001604,0.001604,0.001604
22,214.147,1.36436,1.10746,1.10205,0.73658,0.76068,0.77292,0.36676,1.54383,1.24663,1.1488,0.0015842,0.0015842,0.0015842
23,232.633,1.33783,1.09546,1.09059,0.7677,0.76923,0.7974,0.4192,1.31686,1.28734,1.06414,0.0015644,0.0015644,0.0015644
24,241.714,1.32004,1.0229,1.0751,0.90336,0.71905,0.84627,0.47881,1.30808,1.05883,1.05475,0.0015446,0.0015446,0.0015446
25,247.632,1.32604,1.02879,1.07875,0.91537,0.73963,0.84202,0.47367,1.41095,1.04094,1.0943,0.0015248,0.0015248,0.0015248
26,254.125,1.31677,1.01696,1.08078,0.80435,0.80821,0.82506,0.43643,1.39094,1.08527,1.08925,0.001505,0.001505,0.001505
27,263.027,1.31579,0.99538,1.07074,0.83736,0.74359,0.8264,0.47667,1.2819,1.06332,1.06097,0.0014852,0.0014852,0.0014852
28,273.497,1.3155,1.03599,1.07238,0.87759,0.71795,0.81668,0.42345,1.34512,1.18345,1.07015,0.0014654,0.0014654,0.0014654
29,297.778,1.31063,0.97764,1.06673,0.79282,0.75227,0.79884,0.44828,1.34602,1.08115,1.09835,0.0014456,0.0014456,0.0014456
30,307.221,1.31834,0.98936,1.06795,0.86408,0.81508,0.85603,0.47066,1.27597,1.06061,1.04294,0.0014258,0.0014258,0.0014258
31,317.172,1.29637,0.97733,1.04806,0.92776,0.75214,0.86922,0.46488,1.29892,0.97275,1.07094,0.001406,0.001406,0.001406
32,328.225,1.3159,0.96093,1.078,0.86535,0.71795,0.81417,0.43557,1.3699,1.03817,1.07067,0.0013862,0.0013862,0.0013862
33,337.571,1.30276,0.96584,1.05205,0.83695,0.79487,0.87,0.49741,1.33393,0.92219,1.07889,0.0013664,0.0013664,0.0013664
34,347.595,1.29304,0.93727,1.0533,0.85965,0.73291,0.84738,0.45772,1.39745,1.02543,1.09533,0.0013466,0.0013466,0.0013466
35,357.278,1.29241,0.93099,1.0562,0.81054,0.82051,0.86222,0.45281,1.36263,1.01868,1.05511,0.0013268,0.0013268,0.0013268
36,363.123,1.28318,0.93488,1.04337,0.80107,0.80342,0.84769,0.46175,1.33035,1.03091,1.05207,0.001307,0.001307,0.001307
37,369.941,1.27554,0.90066,1.05538,0.86186,0.75214,0.85685,0.50276,1.29963,0.99942,1.05304,0.0012872,0.0012872,0.0012872
38,380.499,1.27992,0.89888,1.04768,0.84086,0.75214,0.84685,0.47335,1.30967,1.05013,1.06376,0.0012674,0.0012674,0.0012674
39,396.057,1.25816,0.8979,1.02961,0.84219,0.77544,0.83519,0.45555,1.38575,0.97162,1.11588,0.0012476,0.0012476,0.0012476
40,409.093,1.2667,0.8802,1.05166,0.87815,0.73916,0.85339,0.48207,1.30108,1.00969,1.06324,0.0012278,0.0012278,0.0012278
41,417.648,1.25877,0.87358,1.04956,0.85541,0.75848,0.86889,0.47502,1.39034,0.98074,1.10248,0.001208,0.001208,0.001208
42,423.246,1.246,0.86103,1.04752,0.87313,0.7647,0.83062,0.45659,1.35347,1.00563,1.09637,0.0011882,0.0011882,0.0011882
43,429.563,1.26396,0.86228,1.05075,0.76052,0.81197,0.87669,0.49885,1.2803,0.88667,1.05797,0.0011684,0.0011684,0.0011684
44,437.363,1.24688,0.85875,1.04121,0.8823,0.76068,0.84805,0.47615,1.36836,1.02855,1.07086,0.0011486,0.0011486,0.0011486
45,446.527,1.27513,0.88382,1.0429,0.90385,0.7265,0.84247,0.48912,1.27667,1.01901,1.0643,0.0011288,0.0011288,0.0011288
46,469.292,1.22091,0.83906,1.02674,0.89166,0.77379,0.86906,0.51326,1.25493,0.96271,1.04337,0.001109,0.001109,0.001109
47,477.65,1.22951,0.82997,1.02671,0.85781,0.76923,0.86464,0.48966,1.28424,0.97395,1.07641,0.0010892,0.0010892,0.0010892
48,483.501,1.21777,0.83169,1.03086,0.86167,0.81197,0.86292,0.50625,1.30302,0.90713,1.07082,0.0010694,0.0010694,0.0010694
49,489.846,1.22623,0.84249,1.03322,0.90154,0.78265,0.86919,0.50329,1.29977,0.98015,1.06071,0.0010496,0.0010496,0.0010496
50,496.581,1.21235,0.81417,1.02848,0.95487,0.70085,0.86577,0.4785,1.33022,0.98561,1.08387,0.0010298,0.0010298,0.0010298
51,504.818,1.23219,0.80895,1.02967,0.88012,0.75298,0.84416,0.46371,1.33561,1.00697,1.08907,0.00101,0.00101,0.00101
52,524.986,1.21231,0.79576,1.02454,0.92137,0.80128,0.86614,0.51007,1.3275,0.91677,1.05883,0.0009902,0.0009902,0.0009902
53,540.876,1.19403,0.79381,1.01061,0.86924,0.79546,0.87599,0.48253,1.41199,0.95041,1.08198,0.0009704,0.0009704,0.0009704
54,548.826,1.21284,0.7758,1.01094,0.85026,0.84615,0.87694,0.47397,1.39864,0.9579,1.11589,0.0009506,0.0009506,0.0009506
55,558.663,1.20535,0.77281,1.02006,0.8026,0.80342,0.84918,0.49324,1.32029,0.93332,1.07956,0.0009308,0.0009308,0.0009308
56,569.724,1.18494,0.787,1.01587,0.8694,0.78632,0.87042,0.49358,1.35469,1.00014,1.07208,0.000911,0.000911,0.000911
57,577.378,1.17212,0.75728,1.00767,0.88766,0.81041,0.86124,0.48812,1.3139,0.92997,1.05511,0.0008912,0.0008912,0.0008912
58,585.414,1.18725,0.77673,1.01705,0.89955,0.76923,0.88458,0.51055,1.29672,0.90579,1.05866,0.0008714,0.0008714,0.0008714
59,591.203,1.17843,0.76817,1.01393,0.89167,0.73504,0.85267,0.49612,1.313,1.00097,1.06447,0.0008516,0.0008516,0.0008516
60,598.429,1.17465,0.76229,1.00989,0.85281,0.79233,0.87675,0.4989,1.33536,0.88776,1.06233,0.0008318,0.0008318,0.0008318
61,606.394,1.1697,0.76052,1.01412,0.91071,0.78456,0.87584,0.51219,1.29454,0.89554,1.06062,0.000812,0.000812,0.000812
62,614.101,1.16284,0.72529,0.99984,0.86002,0.78767,0.88968,0.50203,1.2906,0.91693,1.0583,0.0007922,0.0007922,0.0007922
63,632.17,1.16288,0.74065,1.00872,0.85332,0.79487,0.87135,0.51294,1.29208,0.95268,1.04191,0.0007724,0.0007724,0.0007724
64,641.062,1.14908,0.71687,0.99955,0.80891,0.79597,0.86624,0.49199,1.36861,0.96618,1.08896,0.0007526,0.0007526,0.0007526
65,648.014,1.12116,0.71335,0.99576,0.921,0.79487,0.89484,0.51356,1.3043,0.84559,1.06085,0.0007328,0.0007328,0.0007328
66,653.976,1.14629,0.72464,0.99564,0.86286,0.76068,0.87525,0.51527,1.26328,0.92616,1.03794,0.000713,0.000713,0.000713
67,660.768,1.11369,0.70546,0.98733,0.86932,0.76923,0.8577,0.48843,1.3772,0.90217,1.09444,0.0006932,0.0006932,0.0006932
68,669.015,1.13204,0.68722,0.99227,0.83911,0.81197,0.89022,0.52356,1.29704,0.91187,1.04812,0.0006734,0.0006734,0.0006734
69,677.887,1.10366,0.6954,0.9935,0.9047,0.76923,0.87138,0.50576,1.30486,0.98272,1.06631,0.0006536,0.0006536,0.0006536
70,692.483,1.13513,0.69206,0.98168,0.91482,0.73431,0.86342,0.52323,1.30814,0.90875,1.05678,0.0006338,0.0006338,0.0006338
71,701.431,1.12215,0.68754,0.99499,0.90316,0.81197,0.88436,0.52137,1.32229,0.87152,1.05654,0.000614,0.000614,0.000614
72,707.328,1.09668,0.68106,0.98714,0.87487,0.77689,0.84268,0.51464,1.27569,0.94195,1.05344,0.0005942,0.0005942,0.0005942
