epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5066,1.9737,5.93864,1.57569,0.03018,0.38462,0.25999,0.10412,1.76877,4.15555,1.31637,0.000657895,0.000657895,0.000657895
2,22.9829,1.69097,2.38501,1.2068,0.65698,0.5641,0.60825,0.30894,1.5233,2.13583,1.15942,0.00131145,0.00131145,0.00131145
3,30.8471,1.64115,1.92197,1.1913,0.61968,0.55706,0.57068,0.27129,1.72791,1.79104,1.25634,0.0019518,0.0019518,0.0019518
4,39.8421,1.65556,1.6618,1.19193,0.7166,0.59829,0.66848,0.33021,1.46451,1.55723,1.12882,0.0019406,0.0019406,0.0019406
5,46.9967,1.6029,1.54243,1.17018,0.83579,0.65257,0.75294,0.35286,1.60367,1.90499,1.2041,0.0019208,0.0019208,0.0019208
6,55.0619,1.60979,1.4742,1.1752,0.78639,0.62934,0.66299,0.29794,1.72785,1.60352,1.25944,0.001901,0.001901,0.001901
7,63.3573,1.60002,1.39871,1.15325,0.79628,0.64103,0.72156,0.38638,1.47127,1.40347,1.11153,0.0018812,0.0018812,0.0018812
8,72.9769,1.5711,1.36967,1.15223,0.81338,0.59604,0.71031,0.36866,1.55502,1.40339,1.14035,0.0018614,0.0018614,0.0018614
9,81.7297,1.57598,1.35987,1.14934,0.85858,0.67457,0.77493,0.43349,1.52465,1.30469,1.11573,0.0018416,0.0018416,0.0018416
10,90.1496,1.56161,1.31147,1.14455,0.66724,0.68376,0.7175,0.38464,1.43535,1.37486,1.13176,0.0018218,0.0018218,0.0018218
11,99.983,1.56917,1.34838,1.15308,0.771,0.66186,0.74947,0.38544,1.47338,1.28341,1.11762,0.001802,0.001802,0.001802
12,108.84,1.5458,1.28467,1.13654,0.75521,0.64957,0.7524,0.39232,1.50369,1.24299,1.13238,0.0017822,0.0017822,0.0017822
13,119.658,1.52759,1.26046,1.13678,0.88953,0.60684,0.7702,0.42913,1.48499,1.27885,1.11632,0.0017624,0.0017624,0.0017624
14,129.054,1.52074,1.2312,1.12165,0.82164,0.76923,0.8331,0.39864,1.58882,1.18084,1.13665,0.0017426,0.0017426,0.0017426
15,138.246,1.52346,1.19722,1.12929,0.82844,0.57782,0.72263,0.40592,1.50207,1.47142,1.11389,0.0017228,0.0017228,0.0017228
16,147.608,1.51755,1.19787,1.13258,0.75039,0.69375,0.75442,0.38762,1.45858,1.28643,1.12727,0.001703,0.001703,0.001703
17,155.295,1.49501,1.17586,1.10144,0.83824,0.68376,0.81754,0.44826,1.44268,1.35014,1.09702,0.0016832,0.0016832,0.0016832
18,161.813,1.49697,1.16946,1.1142,0.80944,0.65812,0.78557,0.44244,1.47632,1.21089,1.10297,0.0016634,0.0016634,0.0016634
19,168.893,1.50022,1.1538,1.11906,0.80205,0.74359,0.83374,0.44093,1.51457,1.16819,1.12534,0.0016436,0.0016436,0.0016436
20,175.967,1.4908,1.13722,1.11124,0.77601,0.76923,0.82997,0.45298,1.43506,1.15234,1.08393,0.0016238,0.0016238,0.0016238
21,182.776,1.48698,1.13092,1.09821,0.83013,0.74359,0.83632,0.45885,1.40537,1.09249,1.07827,0.001604,0.001604,0.001604
22,189.707,1.48129,1.09822,1.11427,0.79796,0.73504,0.82527,0.43392,1.5519,1.10743,1.10846,0.0015842,0.0015842,0.0015842
23,196.529,1.46357,1.10139,1.10671,0.86164,0.74359,0.85168,0.46955,1.44934,1.07928,1.09704,0.0015644,0.0015644,0.0015644
24,204.887,1.46003,1.05962,1.09616,0.90914,0.68415,0.82762,0.45159,1.4308,1.11439,1.09823,0.0015446,0.0015446,0.0015446
25,213.922,1.4732,1.06459,1.10147,0.84679,0.73504,0.82776,0.46217,1.53754,1.17644,1.103,0.0015248,0.0015248,0.0015248
26,223.163,1.45855,1.06267,1.1054,0.83546,0.79487,0.86095,0.47398,1.53525,1.08054,1.10556,0.001505,0.001505,0.001505
27,232.642,1.43637,1.01336,1.08838,0.83901,0.70085,0.82593,0.463,1.41832,1.06183,1.08301,0.0014852,0.0014852,0.0014852
28,243.708,1.44364,1.06676,1.09961,0.79189,0.68376,0.8079,0.4458,1.45035,1.12816,1.08685,0.0014654,0.0014654,0.0014654
29,251.51,1.43408,1.03247,1.08875,0.83209,0.73504,0.80873,0.47768,1.42019,1.0296,1.08404,0.0014456,0.0014456,0.0014456
30,257.799,1.44067,1.03071,1.09547,0.68318,0.7094,0.76913,0.47681,1.37418,1.16904,1.05889,0.0014258,0.0014258,0.0014258
31,264.881,1.41689,1.01736,1.06654,0.86736,0.78632,0.879,0.50863,1.35529,0.97665,1.06075,0.001406,0.001406,0.001406
32,272.128,1.44089,1.01055,1.10073,0.85562,0.75975,0.86853,0.45639,1.55781,1.08554,1.10825,0.0013862,0.0013862,0.0013862
33,279.079,1.42767,0.9987,1.06991,0.87841,0.74098,0.85741,0.48279,1.41996,1.07701,1.0663,0.0013664,0.0013664,0.0013664
34,287.305,1.41915,0.98069,1.07747,0.88549,0.77778,0.86698,0.43498,1.57732,1.06093,1.14643,0.0013466,0.0013466,0.0013466
35,296.341,1.42114,0.97598,1.07971,0.87599,0.78632,0.88178,0.47607,1.44479,0.99447,1.07331,0.0013268,0.0013268,0.0013268
36,305.362,1.42148,0.98647,1.07158,0.86166,0.79487,0.87689,0.49624,1.38476,0.9942,1.05921,0.001307,0.001307,0.001307
37,314.406,1.40864,0.9509,1.07828,0.82831,0.82906,0.88293,0.5082,1.39528,0.9764,1.05541,0.0012872,0.0012872,0.0012872
38,323.772,1.4021,0.95163,1.07168,0.85262,0.79118,0.84478,0.47265,1.44533,1.11509,1.06606,0.0012674,0.0012674,0.0012674
39,332.068,1.37547,0.94661,1.04761,0.90413,0.7094,0.84018,0.46289,1.53867,1.07039,1.14809,0.0012476,0.0012476,0.0012476
40,337.806,1.38355,0.93884,1.06628,0.90158,0.76068,0.8661,0.49067,1.48393,1.04306,1.11421,0.0012278,0.0012278,0.0012278
41,344.92,1.37793,0.93351,1.06539,0.88251,0.77778,0.87832,0.48752,1.45914,1.02637,1.09988,0.001208,0.001208,0.001208
42,351.894,1.35163,0.90022,1.06202,0.8252,0.83761,0.86139,0.44558,1.50237,0.97283,1.12545,0.0011882,0.0011882,0.0011882
43,358.986,1.37146,0.92409,1.06771,0.8461,0.81197,0.85962,0.48302,1.42833,1.0211,1.09193,0.0011684,0.0011684,0.0011684
44,366.738,1.35851,0.91379,1.06023,0.85522,0.71795,0.84257,0.49495,1.45692,1.01287,1.07668,0.0011486,0.0011486,0.0011486
45,377.356,1.37649,0.92412,1.05858,0.91042,0.7265,0.87114,0.49536,1.38923,0.96577,1.07962,0.0011288,0.0011288,0.0011288
46,387.393,1.32566,0.88831,1.04158,0.90139,0.78134,0.86907,0.50848,1.39322,0.92162,1.0751,0.001109,0.001109,0.001109
47,397.233,1.35684,0.89693,1.04237,0.83662,0.77778,0.86868,0.49375,1.42836,0.96041,1.09766,0.0010892,0.0010892,0.0010892
48,406.506,1.32296,0.86914,1.03963,0.86259,0.77778,0.87832,0.50045,1.45066,0.99894,1.09231,0.0010694,0.0010694,0.0010694
49,414.935,1.32211,0.87315,1.04392,0.85328,0.74359,0.84805,0.49232,1.44358,1.048,1.08164,0.0010496,0.0010496,0.0010496
50,420.722,1.31918,0.85788,1.03954,0.86601,0.77341,0.85225,0.49084,1.4491,0.99134,1.12298,0.0010298,0.0010298,0.0010298
51,427.533,1.33129,0.8716,1.03581,0.86467,0.76068,0.87966,0.49899,1.45689,1.01895,1.08579,0.00101,0.00101,0.00101
52,434.472,1.32061,0.84332,1.03447,0.87132,0.73504,0.87457,0.5036,1.44122,1.04957,1.07674,0.0009902,0.0009902,0.0009902
53,441.56,1.29876,0.83933,1.01495,0.9075,0.74359,0.85669,0.46603,1.57381,1.09606,1.12696,0.0009704,0.0009704,0.0009704
54,449.244,1.32216,0.85707,1.02559,0.89093,0.76799,0.85859,0.49336,1.50904,0.99841,1.11736,0.0009506,0.0009506,0.0009506
55,459.214,1.30573,0.85057,1.02553,0.78807,0.74359,0.8325,0.49727,1.36728,0.95925,1.08899,0.0009308,0.0009308,0.0009308
56,469.889,1.28737,0.82974,1.02324,0.82634,0.79487,0.86232,0.51384,1.39945,1.02238,1.08174,0.000911,0.000911,0.000911
57,480.821,1.27428,0.80791,1.0174,0.85919,0.79487,0.86658,0.49737,1.40499,1.01676,1.0949,0.0008912,0.0008912,0.0008912
58,491.715,1.28477,0.83272,1.02624,0.86197,0.80342,0.8976,0.5244,1.398,0.95288,1.08172,0.0008714,0.0008714,0.0008714
59,499.894,1.28363,0.82248,1.02412,0.83093,0.79815,0.84242,0.48846,1.44541,1.04687,1.11031,0.0008516,0.0008516,0.0008516
60,506.076,1.27839,0.82938,1.02516,0.86403,0.77778,0.88038,0.51009,1.41942,0.95242,1.06199,0.0008318,0.0008318,0.0008318
61,513.658,1.27673,0.81285,1.02276,0.86755,0.76923,0.88677,0.50109,1.41426,0.94501,1.08122,0.000812,0.000812,0.000812
62,520.639,1.26206,0.79542,1.00883,0.80817,0.82906,0.87384,0.49348,1.48441,0.98832,1.09073,0.0007922,0.0007922,0.0007922
63,527.857,1.25919,0.79215,1.01702,0.85859,0.79487,0.86175,0.48837,1.48373,0.98788,1.08312,0.0007724,0.0007724,0.0007724
64,535.979,1.25227,0.77514,1.00806,0.89201,0.77656,0.88712,0.50156,1.42005,0.93821,1.08325,0.0007526,0.0007526,0.0007526
65,544.279,1.21909,0.78207,1.00432,0.901,0.80342,0.88784,0.49808,1.456,0.94821,1.08075,0.0007328,0.0007328,0.0007328
66,552.752,1.23908,0.77378,1.00206,0.83141,0.80085,0.87161,0.49874,1.43697,0.98043,1.08836,0.000713,0.000713,0.000713
67,562.737,1.20704,0.75859,0.99693,0.90927,0.78632,0.88595,0.49679,1.45681,0.97504,1.10686,0.0006932,0.0006932,0.0006932
68,572.095,1.22841,0.74539,0.99888,0.92239,0.77778,0.90266,0.51523,1.42933,0.90557,1.06879,0.0006734,0.0006734,0.0006734
69,580.764,1.20509,0.76435,1.00558,0.92956,0.80342,0.90657,0.50122,1.47968,0.91536,1.10235,0.0006536,0.0006536,0.0006536
70,586.648,1.22388,0.75801,0.98626,0.84346,0.82051,0.89186,0.51371,1.45425,0.9826,1.08678,0.0006338,0.0006338,0.0006338
71,593.594,1.2189,0.75869,1.00451,0.85373,0.79818,0.89705,0.52243,1.39305,0.91852,1.05864,0.000614,0.000614,0.000614
72,600.908,1.18279,0.74275,0.98827,0.84012,0.81197,0.88164,0.51321,1.41916,0.93278,1.06483,0.0005942,0.0005942,0.0005942
73,607.575,1.19929,0.7242,0.99146,0.82304,0.79487,0.87844,0.49244,1.46728,0.97951,1.08407,0.0005744,0.0005744,0.0005744
74,615.614,1.18834,0.71956,0.98854,0.80744,0.82051,0.88504,0.49406,1.45152,0.99038,1.10103,0.0005546,0.0005546,0.0005546
75,625.814,1.18465,0.72478,0.98044,0.88783,0.80342,0.89921,0.50663,1.44104,0.97305,1.08151,0.0005348,0.0005348,0.0005348
76,636.236,1.17445,0.7184,0.97572,0.9088,0.76652,0.90452,0.52385,1.40103,0.92381,1.05645,0.000515,0.000515,0.000515
77,646.696,1.15339,0.71151,0.98656,0.90877,0.79487,0.89509,0.51261,1.45769,0.92367,1.08375,0.0004952,0.0004952,0.0004952
78,656.737,1.1561,0.70211,0.96478,0.94594,0.77778,0.90584,0.52858,1.40377,0.8932,1.07186,0.0004754,0.0004754,0.0004754
79,664.733,1.14692,0.69492,0.96331,0.92563,0.74466,0.89626,0.51189,1.43964,0.95635,1.09125,0.0004556,0.0004556,0.0004556
80,670.504,1.13615,0.69193,0.9641,0.839,0.80342,0.8853,0.51257,1.42618,0.92893,1.07639,0.0004358,0.0004358,0.0004358
81,677.591,1.12938,0.68081,0.97237,0.89229,0.78632,0.89722,0.51685,1.42998,0.90953,1.08482,0.000416,0.000416,0.000416
82,684.883,1.12703,0.68567,0.96427,0.85712,0.82035,0.90445,0.49382,1.43418,0.91562,1.0947,0.0003962,0.0003962,0.0003962
83,691.738,1.13637,0.66989,0.96638,0.88007,0.82051,0.9038,0.52967,1.42166,0.9198,1.07231,0.0003764,0.0003764,0.0003764
84,700.318,1.09762,0.65923,0.95711,0.92053,0.79203,0.9127,0.53322,1.43052,0.8797,1.08246,0.0003566,0.0003566,0.0003566
85,709.65,1.102,0.66608,0.95723,0.85157,0.81197,0.91131,0.52545,1.40563,0.8651,1.06483,0.0003368,0.0003368,0.0003368
86,720.377,1.10328,0.66481,0.95384,0.89253,0.78079,0.90825,0.52573,1.39713,0.87315,1.06523,0.000317,0.000317,0.000317
87,730.909,1.08998,0.65055,0.95708,0.87648,0.82906,0.91009,0.51821,1.45142,0.92704,1.08183,0.0002972,0.0002972,0.0002972
88,741.454,1.11043,0.65713,0.94917,0.85283,0.84204,0.90046,0.511,1.42527,0.94232,1.0743,0.0002774,0.0002774,0.0002774
89,751.201,1.09414,0.66248,0.95224,0.86427,0.79487,0.89333,0.5107,1.44729,0.97067,1.09043,0.0002576,0.0002576,0.0002576
90,761.22,1.06182,0.63142,0.93833,0.90569,0.76923,0.90427,0.52323,1.45677,0.92749,1.09006,0.0002378,0.0002378,0.0002378
91,774.759,1.04908,0.57662,0.97572,0.87868,0.75214,0.89794,0.52738,1.45284,0.96184,1.09653,0.000218,0.000218,0.000218
92,783.722,1.01942,0.55683,0.96106,0.85191,0.7867,0.89591,0.53063,1.41025,0.93871,1.07654,0.0001982,0.0001982,0.0001982
93,792.997,1.00836,0.54844,0.96091,0.86829,0.82906,0.9033,0.54002,1.39568,0.88205,1.07143,0.0001784,0.0001784,0.0001784
94,800.557,1.00431,0.54811,0.94972,0.83811,0.84072,0.89464,0.52719,1.41345,0.92998,1.08638,0.0001586,0.0001586,0.0001586
