epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.111,1.4447,10.1098,2.91065,0,0,0,0,0.97545,17.1351,3.68695,0.000657895,0.000657895,0.000657895
2,38.684,1.73421,2.83839,1.43965,0.71443,0.37607,0.52908,0.22575,1.68182,2.78902,1.47249,0.00131145,0.00131145,0.00131145
3,48.0542,1.67623,2.22704,1.30646,0.05287,0.4359,0.03662,0.01404,1.71684,5.23661,1.38419,0.0019518,0.0019518,0.0019518
4,54.1169,1.6753,1.87271,1.27233,0.6647,0.53846,0.58709,0.30677,1.56069,1.83312,1.21924,0.0019406,0.0019406,0.0019406
5,61.1332,1.63454,1.64358,1.23985,0.70821,0.5641,0.64896,0.29809,1.66654,1.56322,1.25897,0.0019208,0.0019208,0.0019208
6,68.3372,1.63468,1.54341,1.23289,0.67905,0.54701,0.58152,0.22579,1.74304,1.68703,1.31448,0.001901,0.001901,0.001901
7,75.3107,1.61859,1.435,1.19728,0.72807,0.54701,0.65828,0.35857,1.51329,1.52245,1.14291,0.0018812,0.0018812,0.0018812
8,83.6882,1.5813,1.38283,1.18746,0.76067,0.69231,0.74938,0.38662,1.55958,1.42046,1.15871,0.0018614,0.0018614,0.0018614
9,94.7139,1.60441,1.37608,1.19563,0.22903,0.76068,0.20693,0.10822,1.41889,3.00376,1.12302,0.0018416,0.0018416,0.0018416
10,104.707,1.55556,1.3315,1.16415,0.77682,0.63248,0.68546,0.29605,1.6366,1.27673,1.25717,0.0018218,0.0018218,0.0018218
11,115.09,1.59942,1.34487,1.19448,0.76665,0.67521,0.79455,0.43044,1.43543,1.26279,1.11146,0.001802,0.001802,0.001802
12,126.187,1.56665,1.28586,1.16428,0.81732,0.64957,0.81471,0.40789,1.43435,1.30522,1.11189,0.0017822,0.0017822,0.0017822
