epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0136,2.37926,5.22687,1.53178,0.67716,0.1453,0.31654,0.13831,1.70834,4.31865,1.19217,0.000657895,0.000657895,0.000657895
2,41.4702,1.68069,2.31242,1.18357,0.6493,0.52137,0.54017,0.26902,1.50054,2.06661,1.12639,0.00131145,0.00131145,0.00131145
3,48.6047,1.64599,1.85664,1.16966,0.58363,0.53846,0.52624,0.2516,1.63754,1.76577,1.16675,0.0019518,0.0019518,0.0019518
4,54.6355,1.64818,1.63317,1.17568,0.60563,0.50427,0.57173,0.28153,1.57892,2.06045,1.18426,0.0019406,0.0019406,0.0019406
5,61.5592,1.60379,1.50981,1.16122,0.60579,0.49913,0.52781,0.18486,1.93825,1.58314,1.35499,0.0019208,0.0019208,0.0019208
6,69.3539,1.60942,1.4211,1.1639,0.92639,0.53782,0.69737,0.33879,1.6498,1.3377,1.17407,0.001901,0.001901,0.001901
7,77.8263,1.59343,1.34462,1.15436,0.73827,0.60275,0.68957,0.36312,1.41003,1.39842,1.10484,0.0018812,0.0018812,0.0018812
8,90.2379,1.553,1.33474,1.14129,0.64685,0.57925,0.60474,0.29089,1.62395,1.41857,1.15376,0.0018614,0.0018614,0.0018614
9,98.9157,1.5607,1.31601,1.13516,0.80859,0.68603,0.77274,0.36916,1.56436,1.24854,1.12347,0.0018416,0.0018416,0.0018416
10,107.475,1.51421,1.28346,1.12507,0.72327,0.62393,0.65767,0.35777,1.41784,1.4485,1.08209,0.0018218,0.0018218,0.0018218
11,113.214,1.56344,1.27648,1.14239,0.83882,0.57829,0.70955,0.38279,1.5098,1.33274,1.1381,0.001802,0.001802,0.001802
12,120.225,1.52055,1.21618,1.1298,0.81346,0.62393,0.70763,0.358,1.5308,1.2845,1.14865,0.0017822,0.0017822,0.0017822
13,129.518,1.50281,1.19569,1.11961,0.76322,0.67521,0.68533,0.3446,1.54896,1.18152,1.13606,0.0017624,0.0017624,0.0017624
14,140.066,1.50386,1.20645,1.11297,0.83033,0.69231,0.78819,0.40168,1.58127,1.22762,1.11942,0.0017426,0.0017426,0.0017426
15,154.784,1.47946,1.1696,1.1099,0.82603,0.68376,0.77472,0.43976,1.35745,1.24729,1.05885,0.0017228,0.0017228,0.0017228
16,164.865,1.49522,1.16586,1.11808,0.94384,0.76068,0.8578,0.46683,1.42665,1.08133,1.10624,0.001703,0.001703,0.001703
17,173.571,1.47332,1.14365,1.09576,0.86031,0.76068,0.84982,0.47664,1.35762,1.03406,1.0747,0.0016832,0.0016832,0.0016832
18,179.395,1.47254,1.13638,1.10762,0.67137,0.7265,0.73379,0.42333,1.43968,1.26319,1.09495,0.0016634,0.0016634,0.0016634
19,188.445,1.46941,1.10432,1.09785,0.83055,0.7265,0.83392,0.43623,1.51756,1.10761,1.10359,0.0016436,0.0016436,0.0016436
20,197.9,1.45562,1.08626,1.09655,0.8264,0.76068,0.82251,0.45557,1.39723,1.03868,1.06688,0.0016238,0.0016238,0.0016238
21,206.269,1.43729,1.08833,1.07967,0.80414,0.73694,0.81691,0.43615,1.46005,1.08292,1.09876,0.001604,0.001604,0.001604
22,213.565,1.46565,1.08281,1.10779,0.85538,0.75214,0.85096,0.45601,1.49603,1.04083,1.09181,0.0015842,0.0015842,0.0015842
23,220.907,1.43629,1.06295,1.09551,0.91157,0.70085,0.84915,0.45674,1.41391,1.05441,1.0855,0.0015644,0.0015644,0.0015644
24,229.851,1.42527,1.00637,1.08441,0.78123,0.75214,0.8146,0.46591,1.39846,1.05729,1.07401,0.0015446,0.0015446,0.0015446
25,238.626,1.43028,1.00226,1.08982,0.86178,0.74607,0.84042,0.45869,1.4649,1.07151,1.09331,0.0015248,0.0015248,0.0015248
26,248.209,1.4269,1.00934,1.09956,0.85221,0.78855,0.85427,0.45485,1.49157,1.00287,1.10503,0.001505,0.001505,0.001505
27,257.907,1.41973,0.98669,1.08878,0.85818,0.72409,0.82912,0.4802,1.39159,1.07923,1.06625,0.0014852,0.0014852,0.0014852
28,264.967,1.41634,1.00772,1.08903,0.75507,0.73504,0.82592,0.42219,1.48597,1.18071,1.10761,0.0014654,0.0014654,0.0014654
29,271.908,1.42029,0.98545,1.08415,0.84931,0.77075,0.83548,0.4896,1.35208,0.97428,1.0716,0.0014456,0.0014456,0.0014456
30,280.588,1.43324,0.98813,1.08921,0.79131,0.8102,0.84919,0.47843,1.40398,1.00042,1.06173,0.0014258,0.0014258,0.0014258
31,289.907,1.38859,0.96069,1.05978,0.86393,0.76068,0.86507,0.50702,1.27908,0.96909,1.04236,0.001406,0.001406,0.001406
32,302.565,1.3891,0.93366,1.08631,0.83076,0.71324,0.82488,0.43861,1.39486,1.00642,1.06191,0.0013862,0.0013862,0.0013862
33,312.28,1.39575,0.94451,1.06161,0.87474,0.73504,0.84045,0.50629,1.3643,1.07466,1.05895,0.0013664,0.0013664,0.0013664
34,319.906,1.39961,0.93996,1.07337,0.892,0.78632,0.87922,0.47802,1.48563,0.99191,1.09693,0.0013466,0.0013466,0.0013466
35,325.524,1.39158,0.92353,1.07275,0.89075,0.76659,0.87129,0.46578,1.42247,1.01538,1.09922,0.0013268,0.0013268,0.0013268
36,332.4,1.38632,0.93258,1.06233,0.90518,0.80342,0.89221,0.49059,1.43212,0.90852,1.06779,0.001307,0.001307,0.001307
37,340.973,1.3746,0.89816,1.07277,0.94557,0.74241,0.8804,0.52615,1.32655,0.94816,1.05604,0.0012872,0.0012872,0.0012872
38,350.537,1.38365,0.90074,1.06767,0.90542,0.76923,0.88034,0.49214,1.4155,0.96738,1.08381,0.0012674,0.0012674,0.0012674
39,369.938,1.35527,0.87855,1.04684,0.83523,0.77988,0.82913,0.4552,1.47945,0.99746,1.12691,0.0012476,0.0012476,0.0012476
40,378.137,1.3674,0.87716,1.07024,0.86064,0.73504,0.85304,0.50524,1.35788,1.0019,1.06761,0.0012278,0.0012278,0.0012278
41,383.828,1.34606,0.88558,1.06501,0.92517,0.73504,0.86635,0.49839,1.41256,0.97634,1.08702,0.001208,0.001208,0.001208
42,390.836,1.34338,0.85692,1.06017,0.88228,0.76068,0.86308,0.49878,1.39744,0.93532,1.08109,0.0011882,0.0011882,0.0011882
43,398.16,1.36027,0.84783,1.06707,0.794,0.79487,0.82997,0.46778,1.39597,0.96934,1.09037,0.0011684,0.0011684,0.0011684
44,407.167,1.3571,0.86103,1.06323,0.78553,0.82051,0.87699,0.49935,1.49137,0.96905,1.11642,0.0011486,0.0011486,0.0011486
45,431.569,1.35018,0.85541,1.05544,0.92852,0.70085,0.85536,0.48594,1.41913,0.99434,1.07582,0.0011288,0.0011288,0.0011288
46,438.98,1.31471,0.82509,1.04404,0.8849,0.82051,0.87805,0.51745,1.36393,0.91801,1.07908,0.001109,0.001109,0.001109
47,444.571,1.32234,0.83041,1.03648,0.86962,0.80342,0.87451,0.52207,1.35672,0.95702,1.06696,0.0010892,0.0010892,0.0010892
48,451.778,1.29534,0.81152,1.03693,0.91117,0.78906,0.87646,0.49831,1.45515,0.91309,1.10576,0.0010694,0.0010694,0.0010694
49,458.902,1.29912,0.81805,1.04386,0.87509,0.77778,0.88469,0.51706,1.40694,0.9025,1.07926,0.0010496,0.0010496,0.0010496
50,467.006,1.30197,0.80664,1.042,0.90946,0.77269,0.86673,0.51076,1.40775,0.96426,1.09632,0.0010298,0.0010298,0.0010298
51,483.932,1.3208,0.80475,1.04316,0.90982,0.77609,0.8689,0.51959,1.37451,0.90924,1.08662,0.00101,0.00101,0.00101
52,501.588,1.29607,0.79865,1.03382,0.89678,0.81686,0.89707,0.5272,1.4051,0.86518,1.08603,0.0009902,0.0009902,0.0009902
53,508.436,1.28901,0.78732,1.01921,0.822,0.78942,0.87539,0.47654,1.49021,0.88617,1.09892,0.0009704,0.0009704,0.0009704
54,516.768,1.3088,0.79768,1.02643,0.88632,0.79965,0.87238,0.47834,1.47406,0.93302,1.09699,0.0009506,0.0009506,0.0009506
55,524.835,1.28982,0.78247,1.02889,0.78963,0.82051,0.86299,0.51194,1.36565,0.88275,1.07617,0.0009308,0.0009308,0.0009308
56,535.366,1.27048,0.77255,1.02133,0.91905,0.77635,0.88663,0.5165,1.41901,0.90702,1.09083,0.000911,0.000911,0.000911
57,549.241,1.26963,0.76076,1.02049,0.92753,0.76574,0.88582,0.5033,1.40585,0.94913,1.07177,0.0008912,0.0008912,0.0008912
58,560.211,1.2777,0.79247,1.02518,0.93274,0.77778,0.8834,0.52049,1.38891,0.90561,1.07171,0.0008714,0.0008714,0.0008714
59,566.108,1.25985,0.7656,1.0197,0.91988,0.74359,0.87796,0.50418,1.42116,0.93303,1.08805,0.0008516,0.0008516,0.0008516
60,572.81,1.27859,0.76976,1.02638,0.81733,0.76489,0.86247,0.49817,1.50919,0.91975,1.10356,0.0008318,0.0008318,0.0008318
61,579.896,1.25116,0.76434,1.01854,0.87565,0.79487,0.87746,0.49399,1.47031,0.92909,1.10141,0.000812,0.000812,0.000812
62,586.867,1.24728,0.73807,1.00963,0.89976,0.78632,0.87106,0.50482,1.43425,0.9471,1.07945,0.0007922,0.0007922,0.0007922
63,602.275,1.25037,0.74179,1.02138,0.84011,0.85325,0.88386,0.51549,1.40278,0.87609,1.0689,0.0007724,0.0007724,0.0007724
64,614.246,1.22272,0.73041,1.00526,0.82314,0.79561,0.86754,0.51272,1.4726,0.94377,1.09408,0.0007526,0.0007526,0.0007526
65,621.265,1.21725,0.72309,1.00672,0.86545,0.82464,0.88609,0.51031,1.50559,0.88995,1.11524,0.0007328,0.0007328,0.0007328
66,627.758,1.22836,0.73382,1.00485,0.92649,0.73504,0.86922,0.51608,1.40518,0.8689,1.08359,0.000713,0.000713,0.000713
67,634.593,1.18823,0.71632,0.99772,0.88265,0.77148,0.85707,0.46423,1.53309,0.93769,1.14541,0.0006932,0.0006932,0.0006932
68,642.819,1.19818,0.69059,0.99553,0.92356,0.77778,0.89166,0.51524,1.48729,0.88141,1.13891,0.0006734,0.0006734,0.0006734
69,651.111,1.18626,0.70415,1.00127,0.88453,0.81197,0.89505,0.51305,1.47743,0.8513,1.12123,0.0006536,0.0006536,0.0006536
70,663.797,1.22412,0.71138,0.98963,0.88948,0.79487,0.88729,0.52724,1.44646,0.85916,1.10216,0.0006338,0.0006338,0.0006338
71,674.038,1.19842,0.70279,1.00276,0.90278,0.79365,0.87573,0.50524,1.39803,0.90042,1.06382,0.000614,0.000614,0.000614
72,680.886,1.1674,0.70023,0.99174,0.82794,0.82906,0.87103,0.51371,1.41692,0.91701,1.08336,0.0005942,0.0005942,0.0005942
73,686.62,1.15144,0.67131,0.98431,0.81068,0.8547,0.87852,0.51622,1.44629,0.90715,1.10543,0.0005744,0.0005744,0.0005744
74,694.592,1.1656,0.67538,0.98338,0.89571,0.80752,0.89961,0.51665,1.46501,0.88433,1.11149,0.0005546,0.0005546,0.0005546
75,702.302,1.16618,0.67571,0.98133,0.83537,0.84615,0.88992,0.50084,1.50057,0.88451,1.11324,0.0005348,0.0005348,0.0005348
76,709.528,1.15496,0.67532,0.97379,0.91037,0.81197,0.88968,0.50432,1.47188,0.86977,1.08819,0.000515,0.000515,0.000515
77,716.978,1.13771,0.65417,0.98755,0.91719,0.76068,0.89662,0.50963,1.4829,0.85972,1.11873,0.0004952,0.0004952,0.0004952
78,727.594,1.13918,0.64957,0.96489,0.92035,0.7901,0.88866,0.52237,1.45896,0.83836,1.1091,0.0004754,0.0004754,0.0004754
79,737.223,1.11512,0.64286,0.96262,0.90818,0.77778,0.88343,0.50062,1.47047,0.88832,1.10124,0.0004556,0.0004556,0.0004556
80,744.653,1.10313,0.64114,0.96134,0.88642,0.80043,0.88502,0.52865,1.42103,0.90088,1.09005,0.0004358,0.0004358,0.0004358
81,754.47,1.11473,0.63279,0.97398,0.90943,0.71795,0.86111,0.51172,1.44427,0.99424,1.08707,0.000416,0.000416,0.000416
82,764.068,1.1174,0.64401,0.96711,0.85133,0.78312,0.87555,0.48928,1.47115,0.89148,1.10233,0.0003962,0.0003962,0.0003962
83,777.225,1.11428,0.6334,0.9657,0.82353,0.82051,0.8756,0.49509,1.45915,0.878,1.09976,0.0003764,0.0003764,0.0003764
84,786.327,1.07913,0.61735,0.95934,0.89147,0.76923,0.88435,0.52285,1.46976,0.90261,1.10188,0.0003566,0.0003566,0.0003566
85,796.306,1.07252,0.62213,0.9562,0.90743,0.76923,0.88539,0.52574,1.47288,0.8297,1.09941,0.0003368,0.0003368,0.0003368
86,802.392,1.08496,0.62219,0.95542,0.89617,0.74359,0.86658,0.50723,1.4851,0.86788,1.1178,0.000317,0.000317,0.000317
87,809.648,1.06488,0.60952,0.96196,0.86298,0.80747,0.8843,0.51449,1.47851,0.89839,1.11441,0.0002972,0.0002972,0.0002972
88,818.89,1.08334,0.61053,0.95282,0.85672,0.77778,0.88401,0.52568,1.43426,0.85359,1.08935,0.0002774,0.0002774,0.0002774
89,827.82,1.06995,0.61121,0.95625,0.90394,0.76068,0.86681,0.50717,1.44325,0.92547,1.09883,0.0002576,0.0002576,0.0002576
90,837.912,1.03776,0.59564,0.94027,0.88715,0.77778,0.88075,0.51161,1.44307,0.92575,1.10746,0.0002378,0.0002378,0.0002378
91,849.166,1.02318,0.5285,0.97816,0.88309,0.77474,0.86514,0.50264,1.5044,0.89188,1.11216,0.000218,0.000218,0.000218
92,856.457,0.99128,0.51211,0.96638,0.80481,0.82051,0.8796,0.52064,1.46026,0.85902,1.10455,0.0001982,0.0001982,0.0001982
93,862.145,0.9759,0.50327,0.9641,0.90439,0.72761,0.87641,0.52553,1.42619,0.86398,1.09274,0.0001784,0.0001784,0.0001784
